Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RJW Topley (ENG),2023-2023,3,2,2,16,15*,-,9,177.77,-,-,-,3,0
AAP Atkinson (ENG),2023-2023,3,3,1,37,35,18.50,23,160.86,-,-,1,7,0
GJ Maxwell (AUS),2023-2023,9,9,3,400,201*,66.66,266,150.37,2,-,1,40,22
HH Pandya (IND),2023-2023,4,1,1,11,11*,-,8,137.5,-,-,-,0,1
H Klaasen (SA),2023-2023,10,10,1,373,109,41.44,280,133.21,1,1,-,28,19
MA Wood (ENG),2023-2023,7,7,4,85,43*,28.33,65,130.76,-,-,1,7,5
TM Head (AUS),2023-2023,6,6,0,329,137,54.83,258,127.51,2,1,1,37,13
Mujeeb Ur Rahman (AFG),2023-2023,9,5,1,51,28,12.75,40,127.5,-,-,-,6,2
MJ Santner (NZ),2023-2023,10,7,3,103,36*,25.75,81,127.16,-,-,-,6,5
RG Sharma (IND),2023-2023,11,11,0,597,131,54.27,474,125.94,1,3,1,66,31
JDS Neesham (NZ),2023-2023,3,2,0,58,58,29.00,47,123.4,-,1,1,3,3
Fakhar Zaman (PAK),2023-2023,4,4,1,220,126*,73.33,179,122.9,1,1,-,14,18
MS Chapman (NZ),2023-2023,8,6,1,84,39,16.80,71,118.3,-,-,-,10,1
Haris Rauf (PAK),2023-2023,9,5,2,53,35,17.66,45,117.77,-,-,-,5,4
DJ Willey (ENG),2023-2023,6,6,2,78,16*,19.50,67,116.41,-,-,-,7,6
Iftikhar Ahmed (PAK),2023-2023,9,8,2,142,40,23.66,123,115.44,-,-,-,11,8
BKG Mendis (SL),2023-2023,9,9,0,294,122,32.66,258,113.95,1,1,-,27,15
Agha Salman (PAK),2023-2023,3,1,0,51,51,51.00,45,113.33,-,1,-,6,1
SS Iyer (IND),2023-2023,11,11,3,530,128*,66.25,468,113.24,2,3,1,37,24
MP Stoinis (AUS),2023-2023,6,5,1,87,35,21.75,77,112.98,-,-,-,8,4
HC Brook (ENG),2023-2023,6,6,0,169,66,28.16,150,112.66,-,1,-,20,5
Mohammed Siraj (IND),2023-2023,11,1,1,9,9*,-,8,112.5,-,-,-,1,0
GD Phillips (NZ),2023-2023,10,9,2,285,71,40.71,255,111.76,-,2,-,22,14
DJ Mitchell (NZ),2023-2023,10,9,1,552,134,69.00,497,111.06,2,2,-,48,22
AK Markram (SA),2023-2023,10,10,1,406,106,45.11,366,110.92,1,3,-,44,9
M Jansen (SA),2023-2023,9,8,3,157,75*,31.40,142,110.56,-,1,1,9,9
DA Warner (AUS),2023-2023,11,11,0,535,163,48.63,494,108.29,2,2,-,50,24
DA Miller (SA),2023-2023,10,10,2,356,101,44.50,330,107.87,1,1,-,25,20
MR Marsh (AUS),2023-2023,10,10,1,441,177*,49.00,410,107.56,2,1,2,43,21
Q de Kock (SA),2023-2023,10,10,0,594,174,59.40,555,107.02,4,-,-,57,21
Shubman Gill (IND),2023-2023,9,9,1,354,92,44.25,331,106.94,-,4,-,41,12
R Ravindra (NZ),2023-2023,10,10,1,578,123*,64.22,543,106.44,3,2,-,55,17
AL Phehlukwayo (SA),2023-2023,1,1,1,39,39*,-,37,105.4,-,-,-,1,3
RR Hendricks (SA),2023-2023,2,2,0,97,85,48.50,94,103.19,-,1,-,10,3
S Samarawickrama (SL),2023-2023,9,9,2,373,108,53.28,365,102.19,1,2,1,36,4
RA Jadeja (IND),2023-2023,11,5,2,120,39*,40.00,118,101.69,-,-,-,7,3
DP Conway (NZ),2023-2023,10,10,1,372,152*,41.33,366,101.63,1,-,1,54,4
MDKJ Perera (SL),2023-2023,7,7,0,149,78,21.28,147,101.36,-,2,1,25,2
AU Rashid (ENG),2023-2023,9,9,3,92,20,15.33,91,101.09,-,-,-,7,2
DJ Malan (ENG),2023-2023,9,9,0,404,140,44.88,400,101.0,1,2,-,50,9
SA Yadav (IND),2023-2023,7,7,1,106,49,17.66,105,100.95,-,-,-,12,1
Shadab Khan (PAK),2023-2023,6,5,0,121,43,24.20,120,100.83,-,-,-,7,4
MD Shanaka (SL),2023-2023,2,2,0,80,68,40.00,80,100.0,-,1,-,6,3
Shoriful Islam (BAN),2023-2023,8,6,5,28,12,28.00,28,100.0,-,-,-,3,1
Mohammad Wasim (PAK),2023-2023,4,2,1,23,16*,23.00,23,100.0,-,-,-,2,2
MADI Hemantha (SL),2023-2023,2,2,1,4,4*,4.00,4,100.0,-,-,1,1,0
Rahmanullah Gurbaz (AFG),2023-2023,9,9,0,280,80,31.11,283,98.93,-,2,1,31,9
AT Nidamanuru (NED),2023-2023,7,7,1,164,54,27.33,167,98.2,-,1,-,11,10
Saud Shakeel (PAK),2023-2023,9,7,0,241,68,34.42,246,97.96,-,2,-,30,1
Ishan Kishan (IND),2023-2023,2,2,0,47,47,23.50,48,97.91,-,-,1,5,2
Azmatullah Omarzai (AFG),2023-2023,9,8,3,353,97*,70.60,361,97.78,-,3,-,26,13
JC Buttler (ENG),2023-2023,9,9,0,138,43,15.33,142,97.18,-,-,-,11,5
Mohammad Rizwan (PAK),2023-2023,9,8,2,395,131*,65.83,414,95.41,1,1,-,38,5
Tanzid Hasan (BAN),2023-2023,9,9,0,145,51,16.11,152,95.39,-,1,1,22,3
JP Inglis (AUS),2023-2023,10,8,0,159,58,19.87,168,94.64,-,1,1,17,3
Rashid Khan (AFG),2023-2023,9,6,1,105,35*,21.00,111,94.59,-,-,-,7,5
KS Williamson (NZ),2023-2023,4,4,1,256,95,85.33,274,93.43,-,3,-,28,4
Abdullah Shafique (PAK),2023-2023,8,8,0,336,113,42.00,360,93.33,1,3,1,36,9
Shaheen Shah Afridi (PAK),2023-2023,9,6,3,55,25,18.33,60,91.66,-,-,-,7,1
Mahmudullah (BAN),2023-2023,8,7,1,328,111,54.66,358,91.62,1,1,-,28,14
CAK Rajitha (SL),2023-2023,6,4,0,52,33,13.00,57,91.22,-,-,1,6,1
TWM Latham (NZ),2023-2023,10,8,2,155,68,25.83,170,91.17,-,2,1,12,3
KL Rahul (IND),2023-2023,11,10,4,452,102,75.33,498,90.76,1,2,-,38,9
V Kohli (IND),2023-2023,11,11,3,765,117,95.62,847,90.31,3,6,1,68,9
Imam-ul-Haq (PAK),2023-2023,6,6,0,162,70,27.00,180,90.0,-,1,-,23,0
P Nissanka (SL),2023-2023,9,9,1,332,77*,41.50,371,89.48,-,4,2,44,3
BA Stokes (ENG),2023-2023,6,6,0,304,108,50.66,341,89.14,1,2,1,26,11
JM Bairstow (ENG),2023-2023,9,9,0,215,59,23.88,243,88.47,-,2,1,27,3
JE Root (ENG),2023-2023,9,9,0,276,82,30.66,312,88.46,-,3,1,21,2
Ikram Alikhil (AFG),2023-2023,7,3,1,89,58,44.50,101,88.11,-,1,-,7,3
SA Edwards (NED),2023-2023,9,9,2,259,78*,37.00,298,86.91,-,2,2,22,3
MJ Henry (NZ),2023-2023,7,4,2,19,10*,9.50,22,86.36,-,-,1,1,1
KIC Asalanka (SL),2023-2023,9,8,0,288,108,36.00,338,85.2,1,1,-,19,11
HE van der Dussen (SA),2023-2023,10,10,1,448,133,49.77,530,84.52,2,2,-,39,8
CR Woakes (ENG),2023-2023,8,8,1,131,51,18.71,155,84.51,-,1,1,15,2
TA Boult (NZ),2023-2023,10,4,3,21,10*,21.00,25,84.0,-,-,-,1,1
WA Young (NZ),2023-2023,6,6,0,206,70,34.33,246,83.73,-,2,1,23,6
Mohammad Nawaz (PAK),2023-2023,5,4,0,81,39,20.25,97,83.5,-,-,-,5,3
Nasum Ahmed (BAN),2023-2023,3,3,0,40,19,13.33,48,83.33,-,-,-,5,0
Tanzim Hasan Sakib (BAN),2023-2023,1,1,1,5,5*,-,6,83.33,-,-,-,1,0
Babar Azam (PAK),2023-2023,9,9,1,320,74,40.00,386,82.9,-,4,-,32,4
Shakib Al Hasan (BAN),2023-2023,7,7,0,186,82,26.57,226,82.3,-,1,-,21,4
CN Ackermann (NED),2023-2023,9,9,0,216,69,24.00,263,82.12,-,1,1,27,0
Noor Ahmad (AFG),2023-2023,4,1,0,26,26,26.00,32,81.25,-,-,-,4,0
SPD Smith (AUS),2023-2023,10,10,1,302,71,33.55,373,80.96,-,2,1,30,2
A Dutt (NED),2023-2023,9,9,3,70,23*,11.66,87,80.45,-,-,-,1,5
Litton Das (BAN),2023-2023,9,9,0,284,76,31.55,354,80.22,-,2,1,32,5
RE van der Merwe (NED),2023-2023,8,8,0,68,29,8.50,85,80.0,-,-,2,4,3
A Zampa (AUS),2023-2023,11,6,3,48,29,16.00,60,80.0,-,-,1,5,0
JR Hazlewood (AUS),2023-2023,11,5,3,4,2,2.00,5,80.0,-,-,1,0,0
Mehidy Hasan Miraz (BAN),2023-2023,9,9,0,201,57,22.33,253,79.44,-,1,-,21,2
Mushfiqur Rahim (BAN),2023-2023,9,9,1,202,66,25.25,255,79.21,-,2,-,14,4
LV van Beek (NED),2023-2023,8,8,2,140,59,23.33,179,78.21,-,1,1,9,3
Towhid Hridoy (BAN),2023-2023,7,6,1,164,74,32.80,210,78.09,-,1,-,7,5
LH Ferguson (NZ),2023-2023,7,3,1,7,6,3.50,9,77.77,-,-,-,0,1
Najmul Hossain Shanto (BAN),2023-2023,9,9,1,222,90,27.75,289,76.81,-,2,2,25,1
Rahmat Shah (AFG),2023-2023,9,9,1,320,77*,40.00,419,76.37,-,3,-,28,2
Ibrahim Zadran (AFG),2023-2023,9,9,1,376,129*,47.00,493,76.26,1,1,-,39,5
TG Southee (NZ),2023-2023,4,2,0,16,9,8.00,21,76.19,-,-,-,2,0
DM de Silva (SL),2023-2023,8,7,0,140,34,20.00,184,76.08,-,-,-,13,4
