Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
Kuldeep Yadav,5.1,1,7,2,1.35,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
JR Hazlewood,8.0,3,12,2,1.5,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
Kuldeep Yadav,2.0,-,3,-,1.5,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
JJ Bumrah,5.0,1,8,1,1.6,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
TM Head,2.0,-,4,-,2.0,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
MP Stoinis,1.0,-,2,-,2.0,Australia,v Afghanistan,Wankhede,07 Nov 2023,ODI # 4696
DJ Mitchell,0.3,-,1,-,2.0,New Zealand,v Pakistan,Bengaluru,04 Nov 2023,ODI # 4692
A Zampa,10.0,-,21,3,2.1,Australia,v England,Ahmedabad,04 Nov 2023,ODI # 4693
MJ Santner,10.0,2,22,2,2.2,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
L Ngidi,8.0,2,18,1,2.25,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
RA Jadeja,7.0,1,16,1,2.28,India,v England,Lucknow,29 Oct 2023,ODI # 4686
Mohammed Siraj,7.0,2,16,3,2.28,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
KA Maharaj,10.0,-,24,1,2.4,South Africa,v Australia,Eden Gardens,16 Nov 2023,ODI # 4704
KA Maharaj,10.0,1,25,2,2.5,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
MR Marsh,2.0,-,5,-,2.5,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
M Theekshana,8.2,1,21,1,2.52,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
Shaheen Shah Afridi,9.0,1,23,3,2.55,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
TA Boult,7.0,1,18,2,2.57,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
A Dutt,10.0,3,26,1,2.6,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
Mohammad Nabi,6.0,-,16,2,2.66,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
K Rabada,6.0,2,16,1,2.66,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
A Zampa,3.0,-,8,4,2.66,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
JJ Bumrah,7.0,1,19,2,2.71,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
LH Ferguson,7.0,1,19,3,2.71,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
CR Woakes,7.0,-,19,1,2.71,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
DJ Willey,7.0,2,19,2,2.71,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
R Ravindra,7.4,-,21,2,2.73,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
Mohammed Siraj,4.0,1,11,1,2.75,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
Mehidy Hasan Miraz,9.0,3,25,3,2.77,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
RA Jadeja,10.0,2,28,3,2.8,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
AD Mathews,5.0,1,14,2,2.8,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
JJ Bumrah,5.0,-,14,-,2.8,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
AK Markram,8.0,1,23,1,2.87,South Africa,v Australia,Eden Gardens,16 Nov 2023,ODI # 4704
MA Wood,10.0,-,29,1,2.9,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
Mohammad Nabi,9.3,1,28,3,2.94,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
KA Maharaj,10.0,-,30,2,3.0,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
KA Maharaj,10.0,-,30,1,3.0,South Africa,v India,Eden Gardens,05 Nov 2023,ODI # 4694
Kuldeep Yadav,8.0,-,24,2,3.0,India,v England,Lucknow,29 Oct 2023,ODI # 4686
JR Hazlewood,7.0,1,21,-,3.0,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
Mohammad Nabi,6.0,1,18,-,3.0,Afghanistan,v Bangladesh,Dharamsala,07 Oct 2023,ODI # 4660
GD Phillips,1.0,-,3,-,3.0,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
MJ Santner,10.0,1,31,1,3.1,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
Mohammad Nabi,10.0,-,31,1,3.1,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
Rashid Khan,10.0,-,31,-,3.1,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
PA van Meekeren,7.2,-,23,4,3.13,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
Mohammed Shami,7.0,2,22,4,3.14,India,v England,Lucknow,29 Oct 2023,ODI # 4686
KA Maharaj,10.0,-,32,1,3.2,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
A Zampa,10.0,-,32,2,3.2,Australia,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
MJ Henry,5.0,2,16,1,3.2,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
DM de Silva,4.0,-,13,-,3.25,Sri Lanka,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
LS Livingstone,10.0,-,33,1,3.3,England,v Afghanistan,Delhi,15 Oct 2023,ODI # 4670
LV van Beek,9.0,1,30,1,3.33,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
M Jansen,8.0,1,27,2,3.37,South Africa,v Netherlands,Dharamsala,17 Oct 2023,ODI # 4672
R Ashwin,10.0,1,34,1,3.4,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
GJ Maxwell,10.0,1,34,2,3.4,Australia,v South Africa,Lucknow,12 Oct 2023,ODI # 4667
Fazalhaq Farooqi,10.0,1,34,4,3.4,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
MA Starc,10.0,1,34,3,3.4,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
PJ Cummins,10.0,-,34,2,3.4,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
Noor Ahmad,9.0,-,31,2,3.44,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
JJ Bumrah,10.0,-,35,2,3.5,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
Kuldeep Yadav,10.0,-,35,2,3.5,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
AU Rashid,10.0,-,35,2,3.5,England,v India,Lucknow,29 Oct 2023,ODI # 4686
LH Ferguson,10.0,2,35,2,3.5,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
Mohammad Nabi,10.0,1,35,2,3.5,Afghanistan,v South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
GJ Maxwell,10.0,-,35,-,3.5,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
PJ Cummins,4.0,-,14,1,3.5,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
CN Ackermann,7.0,1,25,1,3.57,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
BFW de Leede,7.0,-,25,2,3.57,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
Mustafizur Rahman,10.0,1,36,2,3.6,Bangladesh,v Netherlands,Eden Gardens,28 Oct 2023,ODI # 4685
Mohammed Shami,5.0,1,18,5,3.6,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
CR Woakes,9.0,1,33,2,3.66,England,v India,Lucknow,29 Oct 2023,ODI # 4686
RA Jadeja,9.0,1,33,5,3.66,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
JJ Bumrah,9.0,1,33,2,3.66,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
AD Mathews,3.0,-,11,-,3.66,Sri Lanka,v India,Wankhede,02 Nov 2023,ODI # 4690
Azmatullah Omarzai,3.0,-,11,-,3.66,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
MJ Santner,10.0,-,37,2,3.7,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
JR Hazlewood,10.0,1,37,1,3.7,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
MJ Santner,10.0,-,37,1,3.7,New Zealand,v India,Dharamsala,22 Oct 2023,ODI # 4678
GD Phillips,10.0,-,37,3,3.7,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
Shakib Al Hasan,10.0,1,37,1,3.7,Bangladesh,v Netherlands,Eden Gardens,28 Oct 2023,ODI # 4685
TA Boult,10.0,3,37,3,3.7,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
Rashid Khan,10.0,1,37,2,3.7,Afghanistan,v South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
Shakib Al Hasan,8.0,-,30,3,3.75,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
RE van der Merwe,9.0,-,34,2,3.77,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
GJ Maxwell,9.3,-,36,1,3.78,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
Mohammad Wasim,8.1,1,31,3,3.79,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
RA Jadeja,10.0,-,38,2,3.8,India,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
Mujeeb Ur Rahman,10.0,-,38,2,3.8,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
AU Rashid,10.0,-,38,2,3.8,England,v Australia,Ahmedabad,04 Nov 2023,ODI # 4693
Fazalhaq Farooqi,5.0,-,19,1,3.8,Afghanistan,v Bangladesh,Dharamsala,07 Oct 2023,ODI # 4660
A Dutt,5.0,1,19,-,3.8,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
RA Jadeja,9.5,-,38,2,3.86,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
MA Starc,8.0,-,31,1,3.87,Australia,v India,Chennai,08 Oct 2023,ODI # 4662
M Jansen,8.0,1,31,3,3.87,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
Rashid Khan,9.3,1,37,3,3.89,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
JJ Bumrah,10.0,-,39,4,3.9,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
Taskin Ahmed,10.0,1,39,-,3.9,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
Kuldeep Yadav,10.0,-,40,1,4.0,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
Mujeeb Ur Rahman,10.0,-,40,1,4.0,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
K Rabada,10.0,-,40,-,4.0,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
