Winner,Margin,Balls Rem,Target,Overs,Max,Opposition,Ground,Match Date,Scorecard
Australia,309 runs,0,400,21.0,50.0,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
India,302 runs,0,358,19.4,50.0,v Sri Lanka,Wankhede,2 Nov 2023,ODI # 4690
India,243 runs,0,327,27.1,50.0,v South Africa,Eden Gardens,5 Nov 2023,ODI # 4694
South Africa,229 runs,0,400,22.0,50.0,v England,Wankhede,21 Oct 2023,ODI # 4677
South Africa,190 runs,0,358,35.3,50.0,v New Zealand,Pune,1 Nov 2023,ODI # 4689
England,160 runs,0,340,37.2,50.0,v Netherlands,Pune,8 Nov 2023,ODI # 4697
India,160 runs,0,411,47.5,50.0,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
New Zealand,149 runs,0,289,34.4,50.0,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
South Africa,149 runs,0,383,46.4,50.0,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
England,137 runs,0,365,48.2,50.0,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
South Africa,134 runs,0,312,40.5,50.0,v Australia,Lucknow,12 Oct 2023,ODI # 4667
South Africa,102 runs,0,429,44.5,50.0,v Sri Lanka,Delhi,7 Oct 2023,ODI # 4661
India,100 runs,0,230,34.5,50.0,v England,Lucknow,29 Oct 2023,ODI # 4686
New Zealand,99 runs,0,323,46.3,50.0,v Netherlands,Hyderabad,9 Oct 2023,ODI # 4663
England,93 runs,0,338,43.3,50.0,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
Netherlands,87 runs,0,230,42.2,50.0,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
Pakistan,81 runs,0,287,41.0,50.0,v Netherlands,Hyderabad,6 Oct 2023,ODI # 4659
India,70 runs,0,398,48.5,50.0,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Afghanistan,69 runs,0,285,40.3,50.0,v England,Delhi,15 Oct 2023,ODI # 4670
Australia,62 runs,0,368,45.3,50.0,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
Netherlands,38 runs,0,246,42.5,43.0,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
Australia,33 runs,0,287,48.1,50.0,v England,Ahmedabad,4 Nov 2023,ODI # 4693
Pakistan,21 runs,0,180,25.3,25.3,v New Zealand,Bengaluru,4 Nov 2023,ODI # 4692
Australia,5 runs,0,389,50.0,50.0,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
New Zealand,9 wickets,82,283,36.2,50.0,v England,Ahmedabad,5 Oct 2023,ODI # 4658
India,8 wickets,90,273,35.0,50.0,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
New Zealand,8 wickets,43,246,42.5,50.0,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
Sri Lanka,8 wickets,146,157,25.4,50.0,v England,Bengaluru,26 Oct 2023,ODI # 4682
Australia,8 wickets,32,307,44.4,50.0,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
India,7 wickets,117,192,30.3,50.0,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
India,7 wickets,51,257,41.3,50.0,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
Afghanistan,7 wickets,28,242,45.2,50.0,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
Pakistan,7 wickets,105,205,32.3,50.0,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
Afghanistan,7 wickets,111,180,31.3,50.0,v Netherlands,Lucknow,3 Nov 2023,ODI # 4691
Bangladesh,6 wickets,92,157,34.4,50.0,v Afghanistan,Dharamsala,7 Oct 2023,ODI # 4660
India,6 wickets,52,200,41.2,50.0,v Australia,Chennai,8 Oct 2023,ODI # 4662
Pakistan,6 wickets,10,345,48.2,50.0,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Australia,6 wickets,42,241,43.0,50.0,v India,Ahmedabad,19 Nov 2023,ODI # 4705
Australia,5 wickets,88,210,35.2,50.0,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
Sri Lanka,5 wickets,10,263,48.2,50.0,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
New Zealand,5 wickets,160,172,23.2,50.0,v Sri Lanka,Bengaluru,9 Nov 2023,ODI # 4698
South Africa,5 wickets,15,245,47.3,50.0,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
India,4 wickets,12,274,48.0,50.0,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
Bangladesh,3 wickets,53,280,41.1,50.0,v Sri Lanka,Delhi,6 Nov 2023,ODI # 4695
Australia,3 wickets,19,292,46.5,50.0,v Afghanistan,Wankhede,7 Nov 2023,ODI # 4696
Australia,3 wickets,16,213,47.2,50.0,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
South Africa,1 wicket,16,271,47.2,50.0,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
New Zealand,5 wickets,160,172,23.2,50.0,v Sri Lanka,Bengaluru,9 Nov 2023,ODI # 4698
Sri Lanka,8 wickets,146,157,25.4,50.0,v England,Bengaluru,26 Oct 2023,ODI # 4682
India,7 wickets,117,192,30.3,50.0,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
Afghanistan,7 wickets,111,180,31.3,50.0,v Netherlands,Lucknow,3 Nov 2023,ODI # 4691
Pakistan,7 wickets,105,205,32.3,50.0,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
Bangladesh,6 wickets,92,157,34.4,50.0,v Afghanistan,Dharamsala,7 Oct 2023,ODI # 4660
India,8 wickets,90,273,35.0,50.0,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
Australia,5 wickets,88,210,35.2,50.0,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
New Zealand,9 wickets,82,283,36.2,50.0,v England,Ahmedabad,5 Oct 2023,ODI # 4658
Bangladesh,3 wickets,53,280,41.1,50.0,v Sri Lanka,Delhi,6 Nov 2023,ODI # 4695
India,6 wickets,52,200,41.2,50.0,v Australia,Chennai,8 Oct 2023,ODI # 4662
India,7 wickets,51,257,41.3,50.0,v Bangladesh,Pune,19 Oct 2023,ODI # 4674
New Zealand,8 wickets,43,246,42.5,50.0,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
Australia,6 wickets,42,241,43.0,50.0,v India,Ahmedabad,19 Nov 2023,ODI # 4705
Australia,8 wickets,32,307,44.4,50.0,v Bangladesh,Pune,11 Nov 2023,ODI # 4700
Afghanistan,7 wickets,28,242,45.2,50.0,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
Australia,3 wickets,19,292,46.5,50.0,v Afghanistan,Wankhede,7 Nov 2023,ODI # 4696
South Africa,1 wicket,16,271,47.2,50.0,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
Australia,3 wickets,16,213,47.2,50.0,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
South Africa,5 wickets,15,245,47.3,50.0,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
India,4 wickets,12,274,48.0,50.0,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
Pakistan,6 wickets,10,345,48.2,50.0,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
Sri Lanka,5 wickets,10,263,48.2,50.0,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
Afghanistan,8 wickets,6,283,49.0,50.0,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
